customer_id,name,email,city
1,Customer_1,customer1@shop.com,Delhi
2,Customer_2,customer2@shop.com,Bangalore
3,Customer_3,customer3@shop.com,Delhi
4,Customer_4,customer4@shop.com,Kolkata
5,Customer_5,customer5@shop.com,Chennai
6,Customer_6,customer6@shop.com,Delhi
7,Customer_7,customer7@shop.com,Delhi
8,Customer_8,customer8@shop.com,Mumbai
9,Customer_9,customer9@shop.com,Bangalore
10,Customer_10,customer10@shop.com,Kolkata
11,Customer_11,customer11@shop.com,Kolkata
12,Customer_12,customer12@shop.com,Kolkata
13,Customer_13,customer13@shop.com,Chennai
14,Customer_14,customer14@shop.com,Bangalore
15,Customer_15,customer15@shop.com,Chennai
16,Customer_16,customer16@shop.com,Chennai
17,Customer_17,customer17@shop.com,Bangalore
18,Customer_18,customer18@shop.com,Bangalore
19,Customer_19,customer19@shop.com,Delhi
20,Customer_20,customer20@shop.com,Chennai
